code,department,subagency
PSUS,USPS,Postal Inspection
ZTAT,State/Local & Other,State/Local & Other
HSSS,DHS,Secret Service
HSZZ,DHS,Other DHS
HSCI,DHS,HSI
ZSSA,State/Local & Other,State/Local & Other
DEFZ,Defense,DCIS/DoD
HHS,HHS,Other HHS
JUST,DOJ,Other DOJ
CDOA,Commerce,Other Commerce
LABZ,Labor,Other Labor
DEFE,Defense,DCIS/DoD
NCM,State/Local & Other,State/Local & Other
HUD,HUD,Other HUD
WDCS,State/Local & Other,State/Local & Other
IGTA,State/Local & Other,State/Local & Other
VAE,Veterans Affairs,Other Veterans Affairs
MA,State/Local & Other,State/Local & Other
FBI,DOJ,FBI
ACE,State/Local & Other,State/Local & Other
ARMY,Defense,Army CID
JUIN,DOJ,INS (legacy)
BLBS,State/Local & Other,State/Local & Other
ZFCC,State/Local & Other,State/Local & Other
SBA,State/Local & Other,State/Local & Other
EPA,State/Local & Other,State/Local & Other
SEC,State/Local & Other,State/Local & Other
INLM,Interior,BLM
SD,State,Other State
HSEM,DHS,Other DHS
TXN,State/Local & Other,State/Local & Other
CAS,State/Local & Other,State/Local & Other
INN,Interior,BIA
VRAZ,State/Local & Other,State/Local & Other
IAN,State/Local & Other,State/Local & Other
ID,State/Local & Other,State/Local & Other
WIW,State/Local & Other,State/Local & Other
WY,State/Local & Other,State/Local & Other
TRAZ,DOJ,ATF
HHRS,HHS,Other HHS
INFZ,Interior,Fish & Wildlife
WDMP,State/Local & Other,State/Local & Other
LAOS,Labor,Other Labor
JUIZ,DOJ,INS (legacy)
TRSZ,DHS,Secret Service
VAZZ,Veterans Affairs,Other Veterans Affairs
VAW,Veterans Affairs,Other Veterans Affairs
ZNAL,State/Local & Other,State/Local & Other
ZOPM,State/Local & Other,State/Local & Other
AGSC,Agriculture,Other Agriculture
UNKN,State/Local & Other,State/Local & Other
TRCC,DHS,CBP
AGFM,Agriculture,Forest Service
TNM,State/Local & Other,State/Local & Other
VRCH,State/Local & Other,State/Local & Other
ZAID,State/Local & Other,State/Local & Other
AGRE,Agriculture,Other Agriculture
